,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22
2371,-34.0,18.0,8.0,20.0,-24.0,1024.0,5.7376695,9.419541,5.392371,5.0688033,6.3325806,21.696321,23.804867,15.237273,5.442913,2.8366272,4.6378765,1.9436258,0.39694083,0.9433062,-0.38901776,0.82150817,368.0,183.0,-49.0,-56.0,-1333.0,2779.0,-0.86649245,1.4448645,0.77350503,0.69159395,-3.2356255,0.5332616,4.0479956,0.6740619,1.2607923,-0.15037605,0.9206464,-0.38909772,-0.20746252,0.5399956,0.5661601,-1.5344609
2372,-48.0,3.0,6.0,-14.0,-35.0,1317.0,6.6438537,11.019956,5.192123,5.9192286,7.1519723,25.969887,34.718567,21.279251,4.601195,2.606189,3.845287,0.9162328,0.5642031,1.1414834,-0.28503552,0.6875268,240.0,128.0,-15.0,1204.0,-3271.0,2195.0,-0.86649245,1.0846632,0.77827114,0.75602806,-2.7640522,0.5997927,4.1444016,0.6740619,1.2260028,0.24858661,0.9274927,-0.088089146,-0.14720464,0.43781045,0.18585505,-1.5344609
2373,-90.0,2.0,6.0,-3.0,-70.0,1205.0,7.05795,12.1166725,5.459464,7.8135056,6.4915633,32.684692,43.94002,26.668457,2.9033885,2.4547694,1.7111793,-0.11616254,0.6222699,0.84098905,-0.81305677,0.6875268,24.0,-50.0,37.0,1909.0,-4678.0,1906.0,0.25089818,0.692807,0.7735506,0.7235645,-2.4650414,0.3338313,4.095915,0.72810054,1.3092324,1.0000433,0.97752035,0.46275258,1.0353336,0.7872999,2.0060406,5.1891584
2374,-498.0,58.0,167.0,-424.0,-588.0,3894.0,0.88976693,1.7712145,1.6313521,1.8866427,-0.029468155,4.5482774,5.8092275,5.224978,1.247229,0.9638952,1.0762466,0.12608112,1.2634943,0.29151344,-0.70580804,0.64371467,-197.0,-148.0,108.0,539.0,-2359.0,640.0,0.6169291,0.79405826,0.7897148,0.788982,-2.1779497,0.40028092,4.095915,0.7005093,1.3527391,2.4395688,1.1155406,0.54836124,3.3690608,2.312766,13.340388,8.15985
2375,-328.0,41.0,207.0,1318.0,1520.0,3032.0,0.18552329,1.0137068,0.95407593,-0.2107684,-0.48770285,3.7759173,3.8155587,1.3140422,1.5575138,0.5873412,1.1269534,-0.11616254,0.99411494,0.23265727,-0.18184212,0.73176587,-28.0,-39.0,11.0,6.0,18.0,1244.0,-0.02758699,0.9898924,0.7735506,0.89075863,0.5395253,1.0662806,4.095915,0.47855392,1.5476893,9.498961,2.4533124,2.9279172,22.63652,13.920306,25.88898,17.482885
2376,431.0,-83.0,-48.0,9.0,96.0,1640.0,0.14972906,0.91916835,1.0010482,0.35614976,-0.48770285,3.2699814,3.4105818,0.48530015,1.7918508,0.3590551,1.1269534,0.06630566,0.6222699,0.112566754,-0.38901776,0.73176587,-1.0,1.0,-1.0,-21.0,32.0,1000.0,1.8144386,2.1672602,0.78924006,0.85634995,0.9224014,2.6099975,5.3375974,1.5754421,1.6129763,9.436633,4.335307,4.7224,15.496065,11.949063,11.822403,8.189697
2377,389.0,-115.0,-14.0,-89.0,-120.0,2260.0,0.115675956,1.0137068,1.052079,0.7963677,-0.90856284,1.8862287,3.291799,0.36488646,1.5575138,0.27855557,1.1570392,-0.11616254,1.3334224,0.17301486,-0.38901776,0.64371467,-6.0,1.0,-2.0,-31.0,31.0,991.0,2.8970172,2.3880916,0.94815916,0.788982,1.3271693,3.4925594,5.529406,2.1814935,1.8797586,8.823109,4.5003333,4.04695,8.546936,8.048452,4.749203,6.5102754
2378,407.0,-118.0,-44.0,201.0,-246.0,2787.0,0.18552329,0.87324756,0.9770462,0.7963677,-0.66044307,1.3092263,3.3508573,0.43469995,1.5575138,0.27855557,1.1570392,0.0060154353,0.74179983,0.17301486,-0.38901776,0.73176587,-8.0,1.0,-3.0,-26.0,34.0,997.0,3.7031934,3.3502357,1.186192,0.85634995,1.6801536,3.7660708,5.8301196,2.454258,2.7344742,10.134791,4.666749,3.7910128,6.0000005,5.662629,3.7965746,6.200456
2379,375.0,-154.0,-100.0,548.0,-1343.0,2989.0,0.18552329,0.8282364,1.0260649,0.35614976,-0.54407275,2.4539425,3.2333996,0.34328243,1.6671574,0.5387615,1.1269534,-0.05480285,0.99411494,0.23265727,-0.18184212,0.73176587,-50.0,-28.0,-6.0,-33.0,-12.0,1044.0,5.6385036,9.302377,2.373238,2.7370825,3.3579879,14.445354,14.428313,10.501012,3.7373142,5.6640644,4.9186883,1.5877953,0.037163474,1.2018073,0.08753522,0.41608608
2380,-335.0,-177.0,-40.0,659.0,-4976.0,6537.0,0.14972906,0.91916835,0.95407593,0.4464872,-0.2228055,1.2442449,3.2333996,0.41060627,1.9321578,0.7950735,0.9924446,0.24414083,1.1267163,0.78896344,6.4857354,4.338427,-43.0,-16.0,-3.0,5.0,-38.0,1268.0,5.9031014,10.425773,3.1948752,4.6626663,3.9255676,17.850992,20.780355,17.392767,2.565472,4.4932165,3.0830038,0.19552408,0.099798664,1.16279,0.08753522,-0.5985127
